amfi_code,sector_hhi
100016,1805.8808
100033,2276.4744
101206,1800.062469505474
101207,2227.7106198468628
102885,1807.1201999999998
102886,1240.6986298239847
102887,2513.3228103047113
118632,2071.760612884422
118633,2212.0031999999997
118634,1602.9924000000003
118635,2375.442764798533
119092,2968.2845272225995
119093,1842.3319999999999
119094,1750.6523520230717
119095,1596.1421124610706
119551,1424.9103999999998
119552,2274.628551543406
119598,1881.224726132979
119599,2323.612000000001
120503,1821.6750000000002
120504,2211.6879402950613
120505,2385.9959061976842
120506,2313.717820323158
120841,2158.4997784593106
120842,1620.9430724050499
120843,1362.0616
125497,1724.1087999999997
125498,2531.5500000000006
148567,2012.884056682496
148568,2181.29473713448
148569,2550.939673831946
149322,1827.3187454759081
149323,2410.7663999999995
149324,1887.0081999999998
