amfi_code,var_95_pct,cvar_95_pct
100016,-1.2878226406078435,-1.6768321461436164
100025,-0.3337093867864144,-0.4580656507363616
100033,-1.6898389569143668,-2.1849843397164257
101206,-1.2171190619820542,-1.6075120589465113
101207,-2.390629200938421,-3.028853855689586
101208,-0.021838213220335412,-0.0370888261084244
102885,-1.1046217359190702,-1.4381301038700014
102886,-1.6856985270811646,-2.1770633821071876
102887,-1.3742869762866055,-1.7963512958246093
118632,-1.2330092700131234,-1.632772507032638
118633,-1.2061885033860242,-1.554209686247881
118634,-2.2805711679551153,-2.9939618949017763
118635,-1.1030643981576127,-1.4938288639839212
118636,-0.3342383778973595,-0.4540687118852717
119092,-1.2692152974563191,-1.6166151944503537
119093,-1.2587664039983648,-1.6331690102985692
119094,-1.698968989594701,-2.2374528784811147
119095,-2.327180459540236,-2.9690039727417203
119120,-0.34279219422447715,-0.4618214851480345
119551,-1.1826823503686639,-1.5229577496502085
119552,-1.2126653067136077,-1.6078207856022269
119598,-2.1468780239364715,-2.8444271406010864
119599,-2.315517313104138,-3.0162858545493423
120503,-1.213135850838184,-1.6099692653253461
120504,-1.2530455455689742,-1.6225606809666346
120505,-1.6211815970182573,-2.2363198028897973
120506,-1.3000339666385712,-1.779249619629616
120507,-0.01956164105351876,-0.03253526256203926
120841,-1.1723191642537678,-1.5248574925611376
120842,-1.6947763584935598,-2.1250687949172353
120843,-1.3326552817767245,-1.7114102153899122
120844,-0.02037777192939294,-0.03620891285341904
125497,-1.250160911617712,-1.6964485206822204
125498,-1.6755264300649428,-2.148383217515083
148567,-1.2603048008642803,-1.6343197522742479
148568,-1.3311808623856447,-1.7383918582139042
148569,-1.525781192381691,-1.9851510510311667
149322,-1.2954162366011512,-1.6995172112929813
149323,-1.5865351748953982,-2.09026576862566
149324,-2.151945035395909,-2.857253167644592
