amfi_code,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown_pct,std_dev_ann_pct,category,expense_ratio_pct,composite_score
119094,22.261065131342207,35.36241608318782,28.214417193652032,1.758355251751997,2.5406895484717573,26.07666908004223,-0.06626542862803757,-20.960883862039193,16.414439604528024,Equity,1.38,83.875
120505,29.604659337893647,31.54257465577195,32.82740607461121,1.5343753658215222,2.234431030033974,29.26358334175106,0.000549004250631735,-18.188513572116292,16.321022361020418,Equity,1.36,82.0
120504,13.064279264417976,33.170882870125794,23.29511862010305,2.1948397974201703,3.268644674323161,21.19482701352573,0.016232169761417007,-12.588275606922513,12.151630793953588,Equity,0.8,80.75
148567,20.360678307711865,34.189711382520116,30.974107501859027,2.3041033062969634,3.2166365406090818,26.98375144191807,0.023683558075848637,-11.26572907502827,12.01756505745465,Equity,1.46,80.0
100033,53.23239623092084,32.47239299259015,30.12315310072722,1.6213312993744953,2.295933015610064,27.19535450128533,0.0051035258305283,-16.21720857464485,16.01917695822576,Equity,1.38,79.875
120843,26.657081760850154,29.714984872284678,30.907454754005492,1.7265347988120778,2.6463644827543518,27.330465038306055,-0.022829569792426528,-12.97396816518679,13.445998822761915,Equity,1.45,75.12500000000001
119551,60.43734071403091,30.37187388561935,25.804686425584002,2.0527296131563513,3.0802025901342103,23.201007160635083,-0.03175144113890974,-15.012385498645333,11.629331857746767,Equity,1.54,73.6875
149324,65.13871892998797,26.952700027230534,32.287440451573616,0.9736582300554053,1.4054836337133845,30.05787817097677,0.011455159960520697,-31.17190030063422,21.006036200265765,Equity,1.52,71.8125
119598,82.77605861507405,26.090497506528454,32.423536152454616,0.9214797211560131,1.3822662326749395,30.336965386983323,-0.02319606204405971,-28.706005721764555,21.25982488464512,Equity,1.43,70.125
148569,39.75176148971702,28.414381833300162,31.94952310833252,1.4653279959190573,2.15757198176574,28.27036785246582,0.018133884083859228,-16.396742946932633,14.955274105409696,Equity,1.6,68.8125
118633,25.539980483954096,21.261439677135762,16.274217354504273,1.247258057005665,1.888714440908738,15.643835948169668,-0.03663900671860934,-18.629743138595508,11.835112705203969,Equity,0.72,65.68749999999999
